transaction_sk,currency,transaction_type,transaction_status,topup_method,transaction_date
0910c1e524ba,TSH,withdrawal,Failed,Cash Desk,2025-02-07 00:40:36.488804
ec969f849ce8,USD, Withdrawal ,Pending,Cash Desk,2025-04-28 15:16:45.656939
031bea2e883c,USD,withdrawal,Failed,Mpesa,2025-03-11 21:57:23.117399
aff53b34b976,UGX,withdrawal,Pending,Cash Desk,2025-04-18 12:30:47.806240
1c4292fb21ff,USD,deposit,Failed,Mpesa,2025-04-12 16:19:54.709618
dc97d5127093,USD,Deposit ,Failed,Bank Transfer,2025-02-04 23:40:46.671434
564b173c2cfb,KS,withdrawal,Failed,Bank Transfer,2025-03-06 19:09:19.156443
bf19dfa2d279,UGSH,W,Failed,Paypal,2025-03-23 07:59:44.566000
58f5d528a073,TZSH,D,Failed,Bank Transfer,2025-02-05 06:57:07.493558
8ea2b30881d6,RWF, Withdrawal ,Failed,Cash Desk,2025-04-07 07:32:37.818920
fea4df2d4869,KSH,Deposit ,Failed,Paypal,2025-04-02 19:07:36.651464
74ba0d303686,UGSH,Deposit ,Failed,Paypal,2025-02-12 17:29:26.837393
53d194802434,USD,withdrawal,Failed,Cash Desk,2025-03-18 00:54:25.320219
0d5bed1a9e00,USD, Withdrawal ,Failed,Paypal,2025-02-27 06:15:10.211506
a06dfa14ea18,KSH,withdrawal,Failed,Mpesa,2025-02-13 02:08:31.866235
61188ef40bab,USH,D,Failed,Cash Desk,2025-03-10 19:16:18.857816
fc2b9062abe7,TZSH,W,Failed,Paypal,2025-04-09 16:58:21.390601
b82941fc9005,RF,Deposit ,Failed,Paypal,2025-04-08 21:23:35.927714
e3519ca056cd,KES,deposit,Pending,Mpesa,2025-04-25 23:49:12.184253
325ed4f5c3a2,USD, Withdrawal ,Failed,Bank Transfer,2025-02-23 21:54:08.276762
bda1e5624894,USD,withdrawal,Failed,Bank Transfer,2025-02-26 14:06:39.183041
9895b982b15c,RWF,W,Failed,Paypal,2025-02-23 04:55:36.963825
6e272cf1277d,KSH,D,Failed,Mpesa,2025-03-02 03:33:34.188726
bda1e5624894,USD,withdrawal,Failed,Bank Transfer,2025-04-09 05:07:47.195147
ac3a4d5ff527,TSH,deposit,Failed,PayPal,2025-03-25 21:36:33.280874
dfdb624fc0cd,USD,deposit,Failed,PayPal,2025-02-14 11:01:46.769409
25e711968d0b,USD,deposit,Failed,Cash Desk,2025-03-10 19:31:58.671315
e4bc4b23e390,UGSH,D,Failed,Cash Desk,2025-03-13 20:33:55.994280
83db581dac30,USD,D,Failed,Bank Transfer,2025-03-03 01:21:19.763724
92d3ac76a705,RF,deposit,Failed,Cash Desk,2025-03-31 14:54:26.768035
3cce3a698566,KS,W,Failed,Mpesa,2025-02-04 03:04:08.487957
dfdb624fc0cd,USD,deposit,Failed,PayPal,2025-03-28 17:47:48.247660
b4c1bebd9d2f,TZSH,D,Failed,Mpesa,2025-02-12 22:27:59.491680
0b8553017c2e,RWF,withdrawal,Failed,Mpesa,2025-03-24 19:04:35.472080
972a2eae2a5e,KES,W,Failed,Mpesa,2025-02-27 11:29:14.638272
ed39b5b088ea,UGX, Withdrawal ,Pending,Bank Transfer,2025-04-20 11:57:12.369492
6c34a5a19564,USD,W,Failed,Cash Desk,2025-03-05 08:52:42.904146
871fefe7ce54,RWF,W,Failed,Bank Transfer,2025-03-01 07:01:47.547984
ba2412c415b5,KES,W,Failed,Cash Desk,2025-02-16 13:31:14.823602
2a2b4e0dcca1,USH,W,Failed,Bank Transfer,2025-03-13 10:19:45.908318
8377b3524b94,TZSH, Withdrawal ,Failed,Mpesa,2025-03-15 02:24:12.555918
dc97d5127093,USD,Deposit ,Failed,Bank Transfer,2025-03-29 23:55:42.486506
d16e4d0d07b2,KES, Withdrawal ,Completed,Mpesa,2025-04-19 09:00:59.234796
e6b40050785e,USH, Withdrawal ,Failed,Cash Desk,2025-02-22 03:41:59.116817
9d62deca81a8,TZS,D,Failed,Cash Desk,2025-04-13 21:37:46.313916
66b76ff7d821,RF, Withdrawal ,Failed,Cash Desk,2025-04-12 10:43:27.654840
50209bc29827,KS,deposit,Failed,Card Payment,2025-03-29 10:40:54.830789
7cf5fb614f42,UGSH,deposit,Failed,Cash Desk,2025-02-11 14:29:42.803890
0b3e07a2861b,TSH,Deposit ,Completed,Cash Desk,2025-04-18 06:10:51.837080
b8536b339457,USD,W,Failed,Mpesa,2025-03-09 17:15:22.052433
a717f9005356,KES,D,Failed,Cash Desk,2025-04-07 18:31:21.152395
53d194802434,USD,withdrawal,Failed,Cash Desk,2025-03-24 03:01:32.623206
3e3702400cd8,TSH, Withdrawal ,Failed,Paypal,2025-04-13 05:55:38.816015
925548a58c83,USD,Deposit ,Pending,Cash Desk,2025-04-21 20:26:12.133868
6526ff9f0906,KS,deposit,Pending,Card Payment,2025-04-26 15:35:20.845974
e5d135d335c7,USH, Withdrawal ,Failed,Bank Transfer,2025-04-06 12:25:04.518009
c7f2d5c24184,TZSH,Deposit ,Failed,Paypal,2025-03-28 09:57:19.113338
8ea2b30881d6,RWF, Withdrawal ,Failed,Cash Desk,2025-04-01 20:04:33.945430
7ba0e1cf24eb,KSH,Deposit ,Pending,Bank Transfer,2025-04-26 16:23:06.237580
0088c81ac123,USH, Withdrawal ,Completed,Mpesa,2025-04-15 19:25:05.435362
b5b6a57a39e7,TZSH,deposit,Failed,Bank Transfer,2025-04-11 09:00:17.301121
6c34a5a19564,USD,W,Failed,Cash Desk,2025-04-12 13:48:27.585681
6d34d795b92e,KES,deposit,Failed,Bank Transfer,2025-03-23 13:13:47.874812
27a558816643,USH,Deposit ,Failed,Cash Desk,2025-04-02 12:50:12.879570
91383450cf01,TZS,Deposit ,Failed,Mpesa,2025-03-09 15:26:42.386261
5a0a4ff1c0d5,RWF,withdrawal,Failed,Cash Desk,2025-02-27 12:03:18.471389
acd7aefaf016,KS,Deposit ,Pending,Mpesa,2025-04-27 15:37:54.281126
634cb0e58601,USD,W,Pending,Mpesa,2025-04-17 15:00:34.241238
9e9bb4684c55,TZS,D,Failed,Mpesa,2025-03-10 16:33:41.925160
6a5b583e475d,USD,Deposit ,Pending,Bank Transfer,2025-04-16 21:19:34.512498
709bc89a98cb,KS,W,Failed,Bank Transfer,2025-02-09 08:30:28.763866
38a920b1b9eb,USD,D,Completed,Paypal,2025-04-27 18:30:33.972038
0d48d1488a86,USD,W,Failed,Paypal,2025-03-17 20:55:00.430214
8a6c21e0926c,RF,Deposit ,Failed,Bank Transfer,2025-03-16 14:10:48.653817
0527695ea166,KSH,deposit,Failed,Card Payment,2025-04-05 01:23:54.425160
0c747c98ab1d,UGX,Deposit ,Completed,Mpesa,2025-04-15 13:20:49.465263
91383450cf01,TZS,Deposit ,Failed,Mpesa,2025-04-05 10:33:20.626090
09ca7ed6be90,RF,W,Failed,Cash Desk,2025-04-11 18:28:11.314185
932f0aa80bac,KES,Deposit ,Failed,Paypal,2025-03-04 11:50:12.970499
23f9849a5d6a,UGX,Deposit ,Failed,Cash Desk,2025-02-18 21:44:26.101782
00fd171b49f0,TZS,W,Failed,Mpesa,2025-03-29 04:01:07.326504
a52808b861db,RF,D,Failed,Paypal,2025-02-22 15:19:23.729118
275b3c0d47d7,KES,deposit,Failed,Card Payment,2025-02-01 22:59:40.651531
3fec5e9d2381,USD,deposit,Failed,Bank Transfer,2025-04-03 17:12:33.977954
bf7e839b9211,TZS,withdrawal,Pending,Cash Desk,2025-04-25 17:22:48.842175
201051cf708c,USD,withdrawal,Failed,Paypal,2025-02-27 06:16:30.958898
d35962d5cdfe,KES,D,Failed,Bank Transfer,2025-03-30 17:03:28.582015
61d1e68117a9,USD,Deposit ,Failed,Paypal,2025-03-05 19:22:12.907777
8326a7dd8739,USD,Deposit ,Failed,Mpesa,2025-03-17 01:55:16.765033
6c34a5a19564,USD,W,Failed,Cash Desk,2025-02-25 15:39:44.572239
2f18c508e98a,USD,Deposit ,Completed,Bank Transfer,2025-04-18 11:45:08.786388
36f282c4c61c,UGSH,D,Failed,Mpesa,2025-02-15 13:42:10.837785
bf5cf6a943a2,TZSH, Withdrawal ,Failed,Cash Desk,2025-03-03 23:29:17.973181
b82941fc9005,RF,Deposit ,Failed,Paypal,2025-04-04 04:40:48.922813
c8c73f0a0367,KSH, Withdrawal ,Failed,Bank Transfer,2025-02-14 19:02:16.643630
81888e99e1bd,USH,W,Failed,Paypal,2025-02-12 21:39:38.135597
cb5c18e79bd8,USD,W,Failed,Bank Transfer,2025-02-14 20:47:26.203018
d1ace776b4b9,RF,W,Failed,Paypal,2025-03-14 22:56:17.010349
67d48f1d6538,KES,Deposit ,Failed,Cash Desk,2025-03-03 08:59:04.088819
50a877e32994,UGSH, Withdrawal ,Failed,Cash Desk,2025-02-23 15:14:08.612824
ea596978b9f7,TZS,deposit,Failed,Cash Desk,2025-03-16 14:03:36.062210
87fd0c444f2a,RWF,W,Failed,Cash Desk,2025-03-04 21:04:01.039786
636b6178cf25,KES,deposit,Failed,Cash Desk,2025-02-16 05:48:54.669509
3494e6a8d092,USD,Deposit ,Failed,Cash Desk,2025-04-08 21:45:47.388381
54bed65ea8e9,TSH,W,Failed,Cash Desk,2025-03-08 13:56:51.372218
6f178c77abed,RF,W,Completed,Paypal,2025-04-15 12:15:18.303236
4c11502d0308,KS,D,Failed,Cash Desk,2025-02-18 06:56:18.448450
e5d135d335c7,USH, Withdrawal ,Failed,Bank Transfer,2025-03-17 06:04:01.830842
3e1c4ec6f728,TZS,W,Failed,Bank Transfer,2025-03-15 05:04:02.671331
b9c10b29bcf4,RWF,D,Failed,Paypal,2025-02-21 04:33:15.602035
05d9d5b8d053,KS,Deposit ,Failed,Paypal,2025-03-21 18:24:12.390471
3494e6a8d092,USD,Deposit ,Failed,Cash Desk,2025-03-02 08:54:18.793637
83b9a78f7cd2,TZSH,withdrawal,Failed,Mpesa,2025-03-12 05:12:47.971717
bda1e5624894,USD,withdrawal,Failed,Bank Transfer,2025-02-06 13:35:35.473952
65e150b4f456,USD, Withdrawal ,Failed,Mpesa,2025-03-06 16:49:17.423819
99819a3a9fab,USD,D,Failed,Cash Desk,2025-02-23 15:14:34.506171
1c4292fb21ff,USD,deposit,Failed,Mpesa,2025-03-02 03:17:24.699603
871fefe7ce54,RWF,W,Failed,Bank Transfer,2025-02-08 11:24:08.057631
a8864932e68d,KSH,W,Failed,Cash Desk,2025-04-12 06:16:57.238997
2566c5ccdb10,USD,D,Failed,Paypal,2025-02-05 07:56:49.872365
83b9a78f7cd2,TZSH,withdrawal,Failed,Mpesa,2025-03-05 01:12:43.364696
cfc90028b38c,RWF, Withdrawal ,Failed,Bank Transfer,2025-04-05 12:07:22.353503
4d4c930a4b54,KSH,deposit,Failed,Cash Desk,2025-03-14 19:46:40.395861
d08bdc19bc26,UGSH, Withdrawal ,Failed,Mpesa,2025-02-23 18:54:32.756577
b4c1bebd9d2f,TZSH,D,Failed,Mpesa,2025-03-15 09:23:50.421664
5a0a4ff1c0d5,RWF,withdrawal,Failed,Cash Desk,2025-02-07 09:50:45.423007
932f0aa80bac,KES,Deposit ,Failed,Paypal,2025-03-08 06:00:54.089881
99b7cbaa542a,UGSH,Deposit ,Failed,Cash Desk,2025-02-24 01:27:46.940127
9fa8347c62b0,TZS,W,Failed,Paypal,2025-02-24 13:08:15.546926
42b094b7f0c1,RF,deposit,Failed,Mpesa,2025-03-26 16:31:21.957089
8326a7dd8739,USD,Deposit ,Failed,Mpesa,2025-02-12 06:01:25.727725
d1d2013e8113,UGX,withdrawal,Failed,Paypal,2025-02-25 02:45:31.843929
3fec5e9d2381,USD,deposit,Failed,Bank Transfer,2025-03-22 02:08:46.898684
67e530ca0bb6,USD,D,Failed,Mpesa,2025-03-01 03:37:14.087095
d090fa904061,KSH,withdrawal,Failed,Cash Desk,2025-04-08 16:32:11.043501
21e9abfae71b,USH, Withdrawal ,Failed,Paypal,2025-03-24 17:03:32.116853
d891fbc2ab04,TZS,D,Failed,Bank Transfer,2025-04-08 18:20:16.529216
cfc90028b38c,RWF, Withdrawal ,Failed,Bank Transfer,2025-03-28 16:07:49.589028
ec969f849ce8,USD, Withdrawal ,Pending,Cash Desk,2025-04-15 10:39:48.422081
453a84fe88b1,UGSH,D,Failed,Paypal,2025-03-01 16:23:10.715703
c904393da988,TSH,W,Pending,Bank Transfer,2025-04-26 06:56:42.039934
41f6b0f938c6,RF,Deposit ,Pending,Bank Transfer,2025-04-16 21:46:53.420765
35135daa0227,KS,deposit,Failed,Bank Transfer,2025-02-07 15:12:39.906142
d08bdc19bc26,UGSH, Withdrawal ,Failed,Mpesa,2025-04-13 17:34:58.696628
aed2a17cf161,TZS,deposit,Failed,PayPal,2025-02-16 05:52:41.963181
5a0a4ff1c0d5,RWF,withdrawal,Failed,Cash Desk,2025-02-13 12:24:02.854709
ea5df9883ce1,KES,withdrawal,Failed,Mpesa,2025-02-20 14:22:27.966982
dc97d5127093,USD,Deposit ,Failed,Bank Transfer,2025-02-15 01:47:00.574746
40203d8b2cb6,USD, Withdrawal ,Failed,Cash Desk,2025-04-09 16:50:27.916782
d59b6dbd034c,RF, Withdrawal ,Failed,Bank Transfer,2025-03-03 10:05:45.605637
6726a38d2b47,KSH,W,Failed,Mpesa,2025-03-07 07:44:50.902030
dfdb624fc0cd,USD,deposit,Failed,PayPal,2025-03-04 11:05:03.681275
8377b3524b94,TZSH, Withdrawal ,Failed,Mpesa,2025-02-19 16:19:51.253641
0d5bed1a9e00,USD, Withdrawal ,Failed,Paypal,2025-04-09 21:39:45.228502
dad507c13108,KES,withdrawal,Pending,Mpesa,2025-04-22 11:40:54.841726
3c6cbbb5a5c4,USH,W,Completed,Cash Desk,2025-04-27 12:12:37.215003
c1802dfe5c1c,TZS,deposit,Failed,Mpesa,2025-03-09 11:10:13.060597
29e6e2d61b68,RWF,D,Failed,Bank Transfer,2025-02-15 20:12:28.885667
5694c9779386,KSH,withdrawal,Completed,Paypal,2025-04-18 18:22:42.103677
edc1962906b1,UGX,withdrawal,Failed,Cash Desk,2025-02-07 17:14:52.482881
29d8766ce95f,TSH, Withdrawal ,Failed,Bank Transfer,2025-03-28 05:44:16.766744
fc0d8efee15b,RWF,withdrawal,Failed,Paypal,2025-03-07 23:01:46.912616
f0508c69cbf3,KSH,withdrawal,Pending,Mpesa,2025-04-26 06:51:56.608114
d1d2013e8113,UGX,withdrawal,Failed,Paypal,2025-02-18 06:10:50.856634
0728f5969493,USD,Deposit ,Completed,Paypal,2025-04-19 14:57:06.246532
66b76ff7d821,RF, Withdrawal ,Failed,Cash Desk,2025-03-20 09:20:06.098943
a06dfa14ea18,KSH,withdrawal,Failed,Mpesa,2025-02-21 19:48:02.685138
8d5cdcc16c87,UGSH,withdrawal,Failed,Cash Desk,2025-03-08 08:52:08.734238
2dfe31a08815,TSH,D,Failed,Bank Transfer,2025-04-12 21:49:03.356155
f0ff8c9598c7,RF,Deposit ,Failed,Cash Desk,2025-03-17 19:05:55.593172
84a9702b1032,KES,W,Completed,Mpesa,2025-04-17 22:54:37.282809
e1c6f34d1386,UGSH,deposit,Failed,Mpesa,2025-02-25 01:19:00.529777
a922b5c48b04,TZS,withdrawal,Completed,Cash Desk,2025-04-20 19:40:53.676883
9b7eba0e5e73,USD,W,Completed,Bank Transfer,2025-04-16 16:12:12.937067
4d4c930a4b54,KSH,deposit,Failed,Cash Desk,2025-03-14 20:31:35.824333
dbd56ff64c4c,UGSH,W,Failed,Bank Transfer,2025-04-09 09:22:03.304131
58f5d528a073,TZSH,D,Failed,Bank Transfer,2025-04-03 19:03:03.266356
9b01043fc26d,RF,deposit,Failed,PayPal,2025-02-19 03:45:53.787403
636b6178cf25,KES,deposit,Failed,Cash Desk,2025-04-05 11:41:45.046211
99819a3a9fab,USD,D,Failed,Cash Desk,2025-04-02 03:21:17.924258
d009dbd2a835,TSH,deposit,Failed,Cash Desk,2025-02-14 17:01:27.049313
031bea2e883c,USD,withdrawal,Failed,Mpesa,2025-03-02 21:51:36.246253
ba2412c415b5,KES,W,Failed,Cash Desk,2025-02-03 05:50:41.576304
99b7cbaa542a,UGSH,Deposit ,Failed,Cash Desk,2025-02-12 00:07:12.125878
eb4706b870fa,TZS,Deposit ,Pending,Cash Desk,2025-04-19 21:01:38.301183
8326a7dd8739,USD,Deposit ,Failed,Mpesa,2025-02-12 20:08:56.296382
526ad7451456,KSH,D,Failed,Bank Transfer,2025-02-21 00:37:52.075245
2be71bfa8808,UGX,deposit,Failed,Cash Desk,2025-03-15 03:51:21.242027
ac0893009d51,TZS,Deposit ,Failed,Bank Transfer,2025-02-08 20:41:00.062475
325ed4f5c3a2,USD, Withdrawal ,Failed,Bank Transfer,2025-02-07 08:22:40.355514
fea4df2d4869,KSH,Deposit ,Failed,Paypal,2025-03-18 16:16:59.435474
f1c4be71bba5,UGX,Deposit ,Failed,Paypal,2025-02-26 08:32:54.263686
69b431ae1f00,USD,D,Completed,Bank Transfer,2025-04-24 09:49:13.787223
636aa734b379,RF,deposit,Failed,Bank Transfer,2025-03-24 01:47:10.983173
a4545f39cc25,KS,deposit,Failed,Mpesa,2025-02-20 10:46:43.284315
2be71bfa8808,UGX,deposit,Failed,Cash Desk,2025-03-21 16:47:01.193626
a456e05df702,TZS,W,Completed,Mpesa,2025-04-26 08:57:16.426282
1a99c857a0fa,RF,W,Failed,Bank Transfer,2025-03-27 21:50:15.750350
a8864932e68d,KSH,W,Failed,Cash Desk,2025-03-26 15:42:00.081698
21e9abfae71b,USH, Withdrawal ,Failed,Paypal,2025-02-19 22:41:44.614507
8caf930781e2,TSH,Deposit ,Failed,Mpesa,2025-03-31 13:42:13.053883
99819a3a9fab,USD,D,Failed,Cash Desk,2025-03-14 17:23:48.079438
ac117534d657,KES,withdrawal,Failed,Paypal,2025-04-06 05:02:52.424091
a5e06bc30be1,UGX,Deposit ,Pending,Mpesa,2025-04-22 11:22:59.160602
3d344e960b60,TSH, Withdrawal ,Failed,Mpesa,2025-04-06 08:23:58.903780
8a6c21e0926c,RF,Deposit ,Failed,Bank Transfer,2025-03-21 18:32:37.136708
7e4ce5aa8bba,KS,Deposit ,Failed,Cash Desk,2025-04-06 17:11:23.329154
e34daa9490d0,UGX, Withdrawal ,Failed,Cash Desk,2025-02-24 19:53:06.964976
a3f36552eb52,TSH, Withdrawal ,Pending,Cash Desk,2025-04-25 06:46:27.277737
ab1b1074d26a,USD,deposit,Failed,Card Payment,2025-04-13 18:07:47.997730
fea4df2d4869,KSH,Deposit ,Failed,Paypal,2025-03-13 19:36:34.241646
8326a7dd8739,USD,Deposit ,Failed,Mpesa,2025-03-23 19:34:12.844983
2566c5ccdb10,USD,D,Failed,Paypal,2025-02-25 18:49:34.964812
fc0d8efee15b,RWF,withdrawal,Failed,Paypal,2025-02-27 11:27:53.133721
2f94daaf1364,KS,Deposit ,Failed,Bank Transfer,2025-02-19 02:32:21.643834
325ed4f5c3a2,USD, Withdrawal ,Failed,Bank Transfer,2025-02-03 20:59:38.991688
65e150b4f456,USD, Withdrawal ,Failed,Mpesa,2025-04-12 20:28:01.692223
d1ace776b4b9,RF,W,Failed,Paypal,2025-03-08 02:08:12.558979
7ba0e1cf24eb,KSH,Deposit ,Pending,Bank Transfer,2025-04-22 21:46:43.303567
b4b40589beb6,UGX,Deposit ,Failed,Mpesa,2025-02-21 16:00:57.797797
8326a7dd8739,USD,Deposit ,Failed,Mpesa,2025-03-19 03:16:46.877201
9c282dd72fc2,RWF,D,Failed,Mpesa,2025-02-20 01:50:42.324271
09422b659ea8,KS,withdrawal,Failed,Cash Desk,2025-02-10 03:57:28.871186
a83000e701c9,UGX,deposit,Failed,PayPal,2025-03-14 23:22:25.487776
c7f2d5c24184,TZSH,Deposit ,Failed,Paypal,2025-02-09 01:29:44.215179
29e6e2d61b68,RWF,D,Failed,Bank Transfer,2025-03-27 02:09:59.752192
6726a38d2b47,KSH,W,Failed,Mpesa,2025-04-03 07:44:46.964655
07d0f390f9f2,UGSH,D,Completed,Cash Desk,2025-04-19 08:46:12.273759
bf5cf6a943a2,TZSH, Withdrawal ,Failed,Cash Desk,2025-04-11 08:28:17.280379
275b67969f7c,RWF,Deposit ,Completed,Mpesa,2025-04-28 08:30:14.231117
b79f221d03ca,KS,W,Failed,Paypal,2025-03-11 20:52:36.679043
5dca589f947b,UGX, Withdrawal ,Completed,Mpesa,2025-04-21 20:22:38.237088
cb5c18e79bd8,USD,W,Failed,Bank Transfer,2025-03-29 06:33:03.107958
201051cf708c,USD,withdrawal,Failed,Paypal,2025-02-28 00:55:13.303495
a01d545e1739,KS,D,Failed,Bank Transfer,2025-02-14 12:04:11.294577
b8536b339457,USD,W,Failed,Mpesa,2025-04-02 14:58:17.127815
58f5d528a073,TZSH,D,Failed,Bank Transfer,2025-02-20 10:32:38.448438
8a6c21e0926c,RF,Deposit ,Failed,Bank Transfer,2025-03-20 10:11:47.167160
636b6178cf25,KES,deposit,Failed,Cash Desk,2025-04-10 13:27:01.554803
edc1962906b1,UGX,withdrawal,Failed,Cash Desk,2025-03-26 17:51:40.225921
b73efacb58aa,TSH,W,Failed,Paypal,2025-02-22 00:01:27.082476
b957714f3814,USD,Deposit ,Completed,Mpesa,2025-04-26 11:57:38.636683
526ad7451456,KSH,D,Failed,Bank Transfer,2025-03-02 03:31:10.704769
b65aeb096539,UGSH,W,Failed,Cash Desk,2025-02-02 14:59:10.495905
b8536b339457,USD,W,Failed,Mpesa,2025-02-18 13:31:32.518239
42b094b7f0c1,RF,deposit,Failed,Mpesa,2025-03-01 16:15:15.735256
0527695ea166,KSH,deposit,Failed,Card Payment,2025-02-04 07:06:47.698311
33e98afb6c39,USH,Deposit ,Failed,Mpesa,2025-04-10 04:57:56.619869
dc97d5127093,USD,Deposit ,Failed,Bank Transfer,2025-03-12 22:47:53.982550
325ed4f5c3a2,USD, Withdrawal ,Failed,Bank Transfer,2025-02-28 10:41:16.369357
dfdb624fc0cd,USD,deposit,Failed,PayPal,2025-04-10 18:28:29.681424
c75e4706cb72,UGSH,withdrawal,Failed,Paypal,2025-02-18 21:53:40.838064
aa0df4bb88c5,TSH,Deposit ,Failed,Paypal,2025-04-04 00:58:06.493394
9d9859578cbd,RF, Withdrawal ,Failed,Paypal,2025-04-05 10:43:41.097353
e7d479712400,KES,withdrawal,Failed,Bank Transfer,2025-02-15 10:03:50.252273
50a877e32994,UGSH, Withdrawal ,Failed,Cash Desk,2025-02-10 08:42:01.048723
d009dbd2a835,TSH,deposit,Failed,Cash Desk,2025-03-14 05:03:35.289634
b71b4f16c853,RF,W,Pending,Paypal,2025-04-28 09:43:51.966565
d42b74778d3a,KS,deposit,Failed,Cash Desk,2025-03-30 14:56:10.134538
d08bdc19bc26,UGSH, Withdrawal ,Failed,Mpesa,2025-02-23 03:03:42.852018
3d344e960b60,TSH, Withdrawal ,Failed,Mpesa,2025-02-15 11:33:21.596684
e77fa5c49141,RF,withdrawal,Failed,Paypal,2025-03-02 00:44:22.838090
49de6387e4b7,KS,D,Failed,Paypal,2025-03-31 22:52:29.909307
27a558816643,USH,Deposit ,Failed,Cash Desk,2025-02-16 08:05:39.006930
efabe7181fd5,TZSH,Deposit ,Pending,Cash Desk,2025-04-27 10:42:26.763371
3d69398df494,RF,W,Failed,Mpesa,2025-02-03 17:22:05.895959
7e4ce5aa8bba,KS,Deposit ,Failed,Cash Desk,2025-03-09 13:55:25.926991
453a84fe88b1,UGSH,D,Failed,Paypal,2025-02-19 11:24:37.603407
53d194802434,USD,withdrawal,Failed,Cash Desk,2025-03-06 16:50:00.053418
636aa734b379,RF,deposit,Failed,Bank Transfer,2025-03-24 11:51:13.233974
77c5e09ac81f,KES, Withdrawal ,Failed,Mpesa,2025-02-23 18:26:03.811507
865416d17e58,UGSH,Deposit ,Failed,Mpesa,2025-04-09 16:40:27.660035
67e530ca0bb6,USD,D,Failed,Mpesa,2025-04-07 09:24:35.879535
25e711968d0b,USD,deposit,Failed,Cash Desk,2025-02-05 11:58:53.672403
6d34d795b92e,KES,deposit,Failed,Bank Transfer,2025-03-12 18:20:34.083841
e1c6f34d1386,UGSH,deposit,Failed,Mpesa,2025-03-17 07:09:13.909678
65e150b4f456,USD, Withdrawal ,Failed,Mpesa,2025-03-28 09:13:38.475687
4bb4ae50bf59,RWF,deposit,Completed,Mpesa,2025-04-16 06:51:27.528318
6b7dcbf71970,KS,Deposit ,Failed,Mpesa,2025-03-31 02:52:03.872942
61d1e68117a9,USD,Deposit ,Failed,Paypal,2025-02-03 18:05:44.679174
a9be5ebc8148,TZS, Withdrawal ,Failed,Bank Transfer,2025-04-06 03:16:55.528971
14f8d673dc83,RWF,deposit,Failed,PayPal,2025-03-06 04:21:03.439360
67d48f1d6538,KES,Deposit ,Failed,Cash Desk,2025-02-27 13:24:21.014579
53d194802434,USD,withdrawal,Failed,Cash Desk,2025-04-07 15:55:03.895077
83db581dac30,USD,D,Failed,Bank Transfer,2025-03-24 19:01:27.434574
1a99c857a0fa,RF,W,Failed,Bank Transfer,2025-02-25 03:07:20.535485
c214188d69ff,KS,W,Failed,Cash Desk,2025-04-12 05:20:35.954460
2be71bfa8808,UGX,deposit,Failed,Cash Desk,2025-03-28 13:32:06.148657
08ba0855da82,TZSH,Deposit ,Failed,Mpesa,2025-03-03 13:47:20.475444
9b01043fc26d,RF,deposit,Failed,PayPal,2025-02-20 14:25:40.522275
